Sample,inflexion,inflexion_y,NP50,big_deviant,plot_point_x,plot_point_y,label,label_hjust,Mean_residual_paralogy,SE,t_value,p_value
Crataegus-aronia_Cr197LE,14.3,90.2855059074978,11.1926435374822,FALSE,11.1926435374822,90.2855059074978,NA,0,-3.12828469159705,3.32313277875757,-0.941366144498935,0.346977357227374
Crataegus-brachyacantha_Cr186TAD,7.2,36.2324527102657,8.10666529709668,FALSE,8.10666529709668,36.2324527102657,NA,1,5.42671530840295,3.32313277875757,1.63301188056405,0.103103668614505
Crataegus-calpodendron_Cr183TAD,10.9,51.3794916629854,10.739638827804,FALSE,10.739638827804,51.3794916629854,NA,0,-4.40828469159705,3.32313277875757,-1.32654485543764,0.185272194192279
Crataegus-chlorosarca_Cr196LE,7.9,36.8449229541353,9.02759644301306,FALSE,9.02759644301306,36.8449229541353,NA,1,-0.228284691597047,3.32313277875757,-0.06869562752843,0.945259695305492
Crataegus-dahurica_Cr204Bab,8.4,36.7392381237417,9.47442976602386,FALSE,9.47442976602386,36.7392381237417,NA,1,-0.648284691597048,3.32313277875757,-0.195082392055193,0.845408654400762
Crataegus-laevigata_Cr209Wiss,8.5,39.3066569530199,9.38401225817265,FALSE,9.38401225817265,39.3066569530199,NA,1,0.221715308402953,3.32313277875757,0.0667187630359585,0.946832589960099
Crataegus-monogyna_Cr206Wiss,8.9,38.0988654754729,9.83318112865412,FALSE,9.83318112865412,38.0988654754729,NA,1,-2.38328469159705,3.32313277875757,-0.717180097897891,0.473601937355513
Crataegus-pentagyna_Cr195RU,14.9,88.4680541343837,11.3470944779858,FALSE,11.3470944779858,88.4680541343837,NA,0,-4.41828469159705,3.32313277875757,-1.32955406411685,0.184278861000572
Crataegus-pinnatifida_Cr202RU,8.9,39.5589000748723,9.91120499924781,FALSE,9.91120499924781,39.5589000748723,NA,1,-1.70828469159705,3.32313277875757,-0.514058512051308,0.607440951472655
Crataegus-punctata_Cr185TAD,10.7,47.9205521972145,10.9538390567987,FALSE,10.9538390567987,47.9205521972145,NA,0,-4.33828469159705,3.32313277875757,-1.30548039468318,0.19233698486365
Crataegus-pycnoloba_Cr205LE,8.6,39.1401380456729,9.5201328194177,FALSE,9.5201328194177,39.1401380456729,NA,1,0.0267153084029528,3.32313277875757,0.0080391937913901,0.993588965892847
Crataegus-remotilobata_Cr193GrAl,12.5,76.5971551384294,10.1031365473789,FALSE,10.1031365473789,76.5971551384294,NA,0,0.431715308402953,3.32313277875757,0.12991214529934,0.896688815606747
Crataegus-triflora_Cr184TAD,14.8,87.4311667047509,11.4962425180503,FALSE,11.4962425180503,87.4311667047509,NA,0,-5.26828469159705,3.32313277875757,-1.58533680184958,0.113529724369279
Hesperomeles-obtusifolia_Hsp222TAD,8.9,84.6180739554741,8.17718785641589,FALSE,8.17718785641589,84.6180739554741,NA,1,4.12171530840295,3.32313277875757,1.24031014792733,0.215449475863259
Malus-ombrophila_Mlu225ILL,7.3,38.0267130980672,8.52739286116999,FALSE,8.52739286116999,38.0267130980672,NA,1,5.09671530840295,3.32313277875757,1.53370799415017,0.125741666052268
Malus-sieversii_Mlu211GrAl,7.8,35.3726368086062,8.52164217805986,FALSE,8.52164217805986,35.3726368086062,NA,1,2.99171530840295,3.32313277875757,0.900269567176751,0.368415466791905
Malus-sylvestris_Mlu226BIN,12.7,84.5330098170588,9.08173353782661,FALSE,9.08173353782661,84.5330098170588,NA,0,5.08671530840295,3.32313277875757,1.53069878547096,0.126483942504539
Malus-toringo_Mlu238BIN,8.4,38.4098799536015,9.01679784361382,FALSE,9.01679784361382,38.4098799536015,NA,1,2.59171530840295,3.32313277875757,0.779901220008405,0.435822515365739
Micromeles-alnifolia_Micr214RU,9,88.8950723566312,8.11703317357474,FALSE,8.11703317357474,88.8950723566312,NA,1,8.96671530840295,3.32313277875757,2.69827175300391,0.0072086182777756
Pourthiaea-villosa_Pour210RU,-18.6,-315.311631987885,7.15118144334693,TRUE,1,63.685,Pourthiaea-villosa_Pour210RU,0,10.596715308403,3.32313277875757,3.18877276771492,0.0015194560538609
Prunus-tenella_Pru285BGUK,17.5,13.1141020630162,NA,TRUE,NA,13.1141020630162,Prunus-tenella_Pru285BGUK,0,-44.913284691597,3.32313277875757,-13.5153446105722,1.21675125157809e-35
Pyracantha-coccinea_Pyrn229Dut,14.4,82.8946358684731,11.0113926225432,FALSE,11.0113926225432,82.8946358684731,NA,0,-3.00328469159705,3.32313277875757,-0.903751036008827,0.366567922606856
Pyrus-regelii_Pyr227GrAl,8.2,33.8209019121867,8.69008396921125,FALSE,8.69008396921125,33.8209019121867,NA,1,-0.943284691597046,3.32313277875757,-0.283854048091847,0.776641162207341
Sorbus-aucuparia_S217RU,7.4,35.2956234718839,8.02515855273057,FALSE,8.02515855273057,35.2956234718839,NA,1,3.06171530840295,3.32313277875757,0.921334027931211,0.357325777635123
Sorbus-sambucifolia_S232BIN,7.7,36.6298946102257,8.8426812067949,FALSE,8.8426812067949,36.6298946102257,NA,1,1.09671530840295,3.32313277875757,0.330024522466714,0.741521336050439
Sorbus-tianschanica_S230GrAl,7.6,33.7705873680956,9.00810423218908,FALSE,9.00810423218908,33.7705873680956,NA,1,-4.08328469159705,3.32313277875757,-1.22874557336336,0.219752230293714
